precip,temp,hail,area-damaged,severity,seed-tmt,germination,plant-growth,leaves,leafspots-halo,leafspot-size,leaf-malf,leaf-mild,stem,canker-lesion,fruiting-bodies,external-decay,int-discolor,fruit-pods,seed,roots,class
lt-norm,norm,yes,upper-areas,pot-severe,none,80-89,norm,abnorm,absent,dna,absent,absent,abnorm,dna,absent,absent,brown,norm,norm,norm,brown-stem-rot
lt-norm,norm,yes,whole-field,pot-severe,fungicide,90-100,norm,abnorm,absent,dna,absent,absent,abnorm,dna,absent,absent,brown,norm,norm,norm,brown-stem-rot
lt-norm,norm,yes,upper-areas,pot-severe,none,lt-80,norm,abnorm,absent,dna,absent,absent,abnorm,dna,absent,absent,brown,norm,norm,norm,brown-stem-rot
lt-norm,norm,yes,upper-areas,pot-severe,fungicide,lt-80,norm,abnorm,absent,dna,absent,absent,abnorm,dna,absent,absent,brown,norm,norm,norm,brown-stem-rot
lt-norm,norm,yes,upper-areas,pot-severe,none,90-100,norm,abnorm,absent,dna,absent,absent,abnorm,dna,absent,absent,brown,norm,norm,norm,brown-stem-rot
lt-norm,norm,yes,upper-areas,pot-severe,none,90-100,norm,abnorm,absent,dna,absent,absent,abnorm,dna,absent,absent,brown,norm,norm,norm,brown-stem-rot
lt-norm,norm,no,whole-field,pot-severe,none,80-89,norm,abnorm,absent,dna,absent,upper-surf,norm,dna,absent,absent,none,norm,norm,norm,powdery-mildew
norm,lt-norm,no,scattered,minor,fungicide,lt-80,norm,abnorm,absent,dna,absent,upper-surf,norm,dna,absent,absent,none,norm,norm,norm,powdery-mildew
lt-norm,norm,yes,whole-field,pot-severe,other,90-100,norm,abnorm,absent,dna,absent,upper-surf,norm,dna,absent,absent,none,norm,norm,norm,powdery-mildew
norm,lt-norm,yes,upper-areas,minor,fungicide,lt-80,norm,abnorm,absent,dna,absent,upper-surf,norm,dna,absent,absent,none,norm,norm,norm,powdery-mildew
norm,lt-norm,yes,upper-areas,minor,other,90-100,norm,abnorm,absent,dna,absent,upper-surf,norm,dna,absent,absent,none,norm,norm,norm,powdery-mildew
lt-norm,norm,no,low-areas,pot-severe,none,lt-80,norm,abnorm,absent,dna,absent,upper-surf,norm,dna,absent,absent,none,norm,norm,norm,powdery-mildew
norm,lt-norm,yes,upper-areas,minor,none,80-89,norm,abnorm,absent,dna,absent,upper-surf,norm,dna,absent,absent,none,norm,norm,norm,powdery-mildew
lt-norm,norm,yes,low-areas,pot-severe,fungicide,lt-80,norm,abnorm,absent,dna,absent,upper-surf,norm,dna,absent,absent,none,norm,norm,norm,powdery-mildew
lt-norm,norm,yes,low-areas,pot-severe,none,80-89,norm,abnorm,absent,dna,absent,upper-surf,norm,dna,absent,absent,none,norm,norm,norm,powdery-mildew
lt-norm,norm,yes,low-areas,pot-severe,other,90-100,norm,abnorm,absent,dna,absent,upper-surf,norm,dna,absent,absent,none,norm,norm,norm,powdery-mildew
gt-norm,lt-norm,no,low-areas,minor,fungicide,lt-80,norm,abnorm,no-yellow-halos,gt-1/8,present,lower-surf,norm,dna,absent,absent,none,norm,abnorm,norm,downy-mildew
gt-norm,norm,no,low-areas,pot-severe,fungicide,lt-80,norm,abnorm,no-yellow-halos,gt-1/8,present,lower-surf,norm,dna,absent,absent,none,norm,abnorm,norm,downy-mildew
gt-norm,norm,no,upper-areas,pot-severe,none,80-89,norm,abnorm,yellow-halos,gt-1/8,absent,lower-surf,norm,dna,absent,absent,none,norm,abnorm,norm,downy-mildew
gt-norm,gt-norm,yes,upper-areas,pot-severe,none,80-89,norm,abnorm,yellow-halos,gt-1/8,present,lower-surf,norm,dna,absent,absent,none,norm,abnorm,norm,downy-mildew
gt-norm,lt-norm,no,scattered,pot-severe,none,80-89,norm,abnorm,yellow-halos,gt-1/8,absent,lower-surf,norm,dna,absent,absent,none,norm,abnorm,norm,downy-mildew
gt-norm,lt-norm,yes,scattered,pot-severe,none,80-89,norm,abnorm,yellow-halos,gt-1/8,absent,lower-surf,norm,dna,absent,absent,none,norm,abnorm,norm,downy-mildew
gt-norm,norm,yes,scattered,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,gt-1/8,absent,lower-surf,norm,dna,absent,absent,none,norm,abnorm,norm,downy-mildew
gt-norm,gt-norm,yes,low-areas,minor,fungicide,lt-80,norm,abnorm,yellow-halos,gt-1/8,absent,lower-surf,norm,dna,absent,absent,none,norm,abnorm,norm,downy-mildew
gt-norm,lt-norm,yes,upper-areas,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,gt-1/8,absent,lower-surf,norm,dna,absent,absent,none,norm,abnorm,norm,downy-mildew
gt-norm,norm,yes,upper-areas,pot-severe,none,80-89,norm,abnorm,yellow-halos,gt-1/8,absent,lower-surf,norm,dna,absent,absent,none,norm,abnorm,norm,downy-mildew
gt-norm,gt-norm,no,whole-field,pot-severe,none,lt-80,abnorm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,pot-severe,fungicide,80-89,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,pot-severe,fungicide,90-100,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,scattered,pot-severe,other,90-100,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,gt-norm,no,whole-field,pot-severe,fungicide,80-89,abnorm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,gt-norm,no,whole-field,pot-severe,other,80-89,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,pot-severe,none,90-100,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,pot-severe,fungicide,80-89,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,upper-areas,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,abnorm,brown,present,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,pot-severe,fungicide,lt-80,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,pot-severe,other,90-100,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,pot-severe,none,90-100,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,abnorm,brown,present,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,abnorm,brown,present,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,pot-severe,none,90-100,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
norm,norm,no,upper-areas,minor,other,80-89,abnorm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
norm,norm,no,scattered,minor,none,lt-80,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,scattered,pot-severe,other,lt-80,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,pot-severe,none,90-100,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,abnorm,brown,present,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,pot-severe,fungicide,80-89,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,severe,other,80-89,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,abnorm,tan,present,firm-and-dry,none,norm,norm,norm,brown-spot
gt-norm,gt-norm,no,low-areas,pot-severe,fungicide,90-100,abnorm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,pot-severe,other,90-100,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,pot-severe,none,90-100,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,abnorm,brown,present,absent,none,norm,norm,norm,brown-spot
norm,norm,no,upper-areas,minor,none,lt-80,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,abnorm,brown,present,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,abnorm,brown,present,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,pot-severe,none,90-100,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,severe,fungicide,80-89,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,abnorm,tan,present,firm-and-dry,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
norm,norm,no,scattered,pot-severe,fungicide,90-100,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,low-areas,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,abnorm,brown,present,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,severe,other,90-100,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,abnorm,tan,present,firm-and-dry,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,upper-areas,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,abnorm,brown,present,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,low-areas,pot-severe,none,90-100,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,low-areas,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,abnorm,brown,present,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,severe,other,lt-80,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,norm,dna,absent,absent,none,norm,norm,norm,brown-spot
gt-norm,norm,yes,whole-field,severe,none,lt-80,norm,abnorm,no-yellow-halos,gt-1/8,absent,absent,abnorm,tan,present,firm-and-dry,none,norm,norm,norm,brown-spot
